Konkurs,Scena,Dzień występu,Dzień spontana,Problem,Grupa wiekowa,Liga,Część,Godzina występu,Godzina spontana,Kod drużyny,Numer członkowstwa,Drużyna,Miejscowość
Finał,2,sobota,niedziela,5,2,,1,14:20,13:00,P5G2_229,42799,Szkoła Podstawowa Towarzystwa Oświatowego EDUKACJA - Łódź,Łódź
Finał,2,sobota,niedziela,5,2,,1,14:40,12:45,P5G2_230,48036,Niepubliczna Szkoła Podstawowa WOLNO MI - Gliwice,Gliwice
Finał,2,sobota,niedziela,5,2,,1,15:00,13:45,P5G2_231,38436,Zespół Szkół S.T.O. na Bemowie - Warszawa,Warszawa
Finał,2,sobota,niedziela,5,2,,1,15:20,10:55,P5G2_232,39444,Szkoła Podstawowa w Stęszewie - Stęszew,Stęszew
Finał,2,sobota,niedziela,5,2,,1,16:00,9:40,P5G2_233,47788,Szkoła Podstawowa im. Jana Pawła II [Ekipa B] - Łochowo,Łochowo
Finał,2,sobota,niedziela,5,2,,1,16:20,11:40,P5G2_234,29443,Pierwsza Społeczna Szkoła Podstawowa - Gdynia,Gdynia
Finał,2,sobota,niedziela,5,2,,1,16:40,9:55,P5G2_235,47788,Szkoła Podstawowa im. Jana Pawła II [Ekipa A] - Łochowo,Łochowo
Finał,2,niedziela,sobota,5,2,,2,8:30,11:55,P5G2_236,42815,Zespół Szkół Towarzystwa Salezjańskiego - Rumia,Rumia
Finał,2,niedziela,sobota,5,2,,2,8:50,11:40,P5G2_237,44740,Szkoła ZARADNI-ODWAŻNI-ORYGINALNI - Środa Wielkopolska,Środa Wielkopolska
Finał,2,niedziela,sobota,5,2,,2,9:10,10:55,P5G2_238,41879,Społeczna Szkoła Podstawowa nr 7 S.T.O. - Kraków,Kraków
Finał,2,niedziela,sobota,5,2,,2,9:50,13:25,P5G2_239,46134,Szkoła Podstawowa w Szczawinie - Smardzew,Smardzew
Finał,2,niedziela,sobota,5,2,,2,10:10,12:55,P5G2_240,47319,Autorska Szkoła Podstawowa NAVIGO - Wrocław,Wrocław
Finał,2,niedziela,sobota,5,2,,2,10:30,13:40,P5G2_241,40397,Szkoła Podstawowa nr 267 - Warszawa,Warszawa
Finał,2,niedziela,sobota,5,2,,2,11:10,11:25,P5G2_242,42803,Zespół Placówek Oświatowych SCHERZO - Kraków,Kraków
Finał,2,niedziela,sobota,5,2,,2,11:30,12:40,P5G2_243,42762,Publiczna Szkoła Podstawowa nr 8 - Starogard Gdański,Starogard Gdański
Finał,2,niedziela,sobota,5,2,,2,11:50,12:25,P5G2_244,44769,Społeczna Szkoła Podstawowa S.T.O. - Kluczbork,Kluczbork
